Symbol,q1_max,q2_max,q3_max,q4_max,q1_mean,q2_mean,q3_mean,q4_mean,q1_min,q2_min,q3_min,q4_min,q1_std,q2_std,q3_std,q4_std
T,43.02,41.69,39.41,39.51,41.66596774,39.0284127,37.58571429,36.15405397,40.61,37.46,35.59,32.86,0.565504155,1.045619443,1.017523423,2.081941006
TAP,101.59,96.86,91.83,84.35,97.64290323,92.65571429,87.98301587,80.87714286,94.89,85.77,81.35,76.52,1.618894975,3.734158676,2.66740942,1.745253867
TDG,256.11,273.25,287.6,284.97,238.6141935,253.8301587,270.627619,271.6463492,210.04,218.76,250.43,258.18,14.91399602,14.95373311,11.36211528,6.304008786
TEL,76.53,80.03,83.22,96.23,73.55241935,76.52333333,80.40238095,92.00031746,67.31,71.93,77.61,83.79,2.648322504,2.407026676,1.624845118,3.602040178
TGT,73.81,58.41,59.96,65.82,62.23322581,54.63365079,56.0068254,60.37206349,53.12,50.52,50.18,54.16,6.314254437,1.948495947,2.48042909,2.704338902
TIF,96.41,94.69,96.48,105.24,85.33951613,91.79444444,91.56619048,95.32761905,76.81,85.03,87.55,90.87,6.559763697,2.007459298,2.485258751,3.554039371
TJX,79.77,80.72,74.16,77.45,77.07387097,75.39555556,71.23968254,72.51873016,74.04,68.75,66.9,67.94,1.593446985,2.943988285,1.655110335,2.55651823
TMK,78.71,77.77,80.09,91.16,75.9333871,76.04873016,77.93365079,85.81333333,73,74.11,74.68,80.32,1.850468212,0.874802267,1.063021108,3.351433492
TMO,161.05,176.44,194.04,200.37,152.8441935,167.9687302,181.1188889,191.5744444,140.98,152.18,171.74,182.03,5.895864221,8.577583405,6.524775144,3.230563607
TPR,41.69,47.34,48.74,44.95,37.68451613,43.83904762,44.04952381,41.22238095,34.99,38.74,39.15,38.87,1.735749167,3.064865789,3.467315792,1.498516163
TRIP,52.92,47.99,45.81,43.61,47.41774194,41.3552381,40.62285714,36.12857143,40.82,35.74,36.19,30.06,4.554297347,3.430218585,2.606944311,3.59231521
TROW,76.97,75.04,90.65,105.36,70.90951613,71.51619048,82.71063492,97.52825397,66.45,68.2,74.23,90.68,2.545766932,1.622266861,3.317416345,4.577458987
TRV,124.99,129.44,130.15,136.36,120.1817742,123.0884127,124.8879365,131.9707143,116.54,118.88,115.18,123.32,2.275687988,3.043436198,3.555354507,3.605492658
